lon,lat,h
115.25242441860507,-32.64677503054282,57.107421875
115.2572732558134,-32.646775030543125,56.921875
115.26212209302307,-32.64677503054363,56.7353515625
115.26697093023225,-32.64677503054348,56.5419921875
115.27181976744154,-32.646775030543274,56.3037109375
115.27666860465091,-32.646775030543246,56.0595703125
115.28151744186025,-32.64677503054315,55.8125
115.28636627906951,-32.646775030543125,55.5009765625
115.29121511627883,-32.64677503054315,55.1572265625
115.2960639534882,-32.646775030543175,54.8115234375
115.30091279069754,-32.646775030543175,54.4375
115.30576162790683,-32.646775030543175,53.9931640625
115.31061046511613,-32.64677503054315,53.544921875
115.31545930232548,-32.64677503054315,53.0927734375
115.32030813953477,-32.646775030543125,52.625
115.32515697674407,-32.64677503054315,52.1474609375
115.33000581395342,-32.646775030543175,51.6728515625
115.33485465116273,-32.64677503054315,51.19921875
115.33970348837204,-32.64677503054315,50.7314453125
115.34455232558136,-32.64677503054315,50.2666015625
115.3494011627907,-32.646775030543175,49.8037109375
115.35425000000001,-32.646775030543175,49.3466796875
115.3590988372093,-32.646775030543175,48.8974609375
115.3639476744186,-32.646775030543175,48.451171875
115.3687965116279,-32.646775030543175,48.00390625
115.37364534883721,-32.646775030543175,47.55859375
115.37849418604651,-32.646775030543175,47.119140625
115.3833430232558,-32.646775030543175,46.669921875
115.38819186046513,-32.646775030543175,46.20703125
115.39304069767442,-32.646775030543175,45.728515625
115.39788953488372,-32.646775030543175,45.25
115.40273837209303,-32.646775030543175,44.7412109375
115.40758720930233,-32.646775030543175,44.193359375
115.41243604651163,-32.646775030543175,43.6376953125
115.41728488372092,-32.646775030543175,43.0673828125
115.42213372093023,-32.646775030543175,42.4560546875
115.42698255813954,-32.646775030543175,41.8203125
115.43183139534884,-32.646775030543175,41.1787109375
115.43668023255813,-32.646775030543175,40.53515625
115.44152906976744,-32.646775030543175,39.884765625
115.44637790697675,-32.646775030543175,39.22265625
115.45122674418604,-32.646775030543175,38.5556640625
115.45607558139534,-32.646775030543175,37.974609375
115.46092441860466,-32.646775030543175,37.3818359375
115.46577325581396,-32.646775030543175,36.7763671875
115.47062209302325,-32.646775030543175,36.22265625
115.47547093023256,-32.646775030543175,35.703125
115.48031976744187,-32.646775030543175,35.181640625
115.48516860465116,-32.646775030543175,34.6767578125
115.49001744186046,-32.646775030543175,34.1943359375
115.49486627906977,-32.646775030543175,33.7060546875
115.49971511627908,-32.646775030543175,33.189453125
115.50456395348837,-32.646775030543175,32.595703125
115.50941279069767,-32.646775030543175,31.9443359375
115.51426162790698,-32.646775030543175,31.2783203125
115.51911046511628,-32.646775030543175,30.53125
115.52395930232558,-32.646775030543175,29.6845703125
115.52880813953487,-32.646775030543175,28.7880859375
115.5336569767442,-32.646775030543175,27.8037109375
115.53850581395349,-32.646775030543175,26.6552734375
115.54335465116279,-32.646775030543175,25.3623046875
115.5482034883721,-32.646775030543175,24.0634765625
115.5530523255814,-32.646775030543175,22.875
115.5579011627907,-32.646775030543175,21.814453125
115.56275,-32.646775030543175,20.8203125
115.5675988372093,-32.646775030543175,19.861328125
115.57244767441861,-32.646775030543175,18.9814453125
115.5772965116279,-32.646775030543175,18.1708984375
115.58214534883722,-32.646775030543175,17.369140625
115.58699418604651,-32.646775030543175,16.59375
115.5918430232558,-32.646775030543175,15.8701171875
115.59669186046511,-32.646775030543175,15.17578125
115.60154069767441,-32.646775030543175,14.501953125
115.60638953488373,-32.646775030543175,13.8212890625
115.61123837209303,-32.646775030543175,13.12890625
115.61608720930232,-32.646775030543175,12.439453125
115.62093604651163,-32.646775030543175,11.8056640625
115.62578488372094,-32.646775030543175,11.27734375
115.63063372093023,-32.646775030543175,10.7490234375
115.63548255813953,-32.646775030543175,10.2255859375
115.64033139534884,-32.646775030543175,9.7373046875
115.64518023255815,-32.646775030543175,9.263671875
115.65002906976744,-32.646775030543175,8.796875
115.65487790697674,-32.646775030543175,8.3779296875
115.65972674418605,-32.646775030543175,8.00390625
115.66457558139535,-32.646775030543175,7.634765625
115.66942441860465,-32.646775030543175,7.2685546875
115.67427325581396,-32.646775030543175,6.9150390625
115.67912209302327,-32.646775030543175,6.5751953125
115.68397093023256,-32.646775030543175,6.2490234375
115.68881976744187,-32.646775030543175,5.9541015625
115.69366860465117,-32.646775030543175,5.685546875
115.69851744186046,-32.646775030543175,5.419921875
115.70336627906977,-32.646775030543175,5.1572265625
